day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,48.57803775381072,10.298009336454578,3.855169240837093,9.853896048762131,2.908179784192602,1.0450698165978967,75.49329216405711
2,38.00737906878529,6.5870664980150435,2.456358214496433,4.860128780685259,1.266497610261431,1.3553275633750375,53.177430172243454
3,38.16238441296121,9.33366589990526,2.2053658104234097,4.857212485244049,1.0676802926992075,1.9216095503872717,55.62630890123314
4,24.55770444321243,7.188258922059831,1.8638609415211098,3.2228044143162013,0.6236102152099143,2.2304359799584677,37.45623893631948
5,76.7048947403353,23.072091131951062,3.2695184956776338,4.348449020148393,0.9599837715020384,5.305820770819044,108.35493715961442
6,40.65616925706165,7.028410194915892,1.727632521301122,3.093426139208466,0.6672845787803864,2.2720471990044975,53.172922691267516
7,18.16476714499318,3.9250779895325034,1.4470886713210083,2.7703223421095973,0.6335312742769318,1.4168307889195164,26.94078742223322
