day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,83.94863656470673,20.96490275140868,3.8318869640399305,11.1281605859844,2.287564140351595,1.8839504147534836,122.16115100649135
2,35.46455146856097,6.55364667017184,2.467871208774961,5.364388661633832,1.0562781475138159,1.2216949746843653,50.90673615665541
3,14.194900789054346,2.4905616592623403,1.1497460310654297,4.291463196832406,0.8452642752967297,0.5803525615926666,22.97193595151125
4,17.245487453348144,4.796307576107243,1.1311426624012748,2.6061187875678957,0.40252101054936246,1.8404025169486975,26.18157748997391
5,35.984940989983734,10.046956553286401,1.949758335765732,3.4263157108144315,0.8049880462162736,2.9322915344827494,52.21295963606658
6,27.07614573909808,6.318082168480968,1.5160362911737066,2.9209723866659862,0.5478237520001256,2.163006469120532,38.37906033741886
7,34.35267104480524,7.977187545289389,1.7713274771006327,2.1553008850519215,0.30884168055463485,3.7011943903587348,46.565328632801815
