day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,19.06996941015609,4.097413700295382,2.3464082778071726,9.520810749395547,2.782281199702314,0.4303639477925256,37.81688333735651
2,19.066438472964325,3.422949050242865,1.769601951853275,4.142209444046243,1.0047474552287556,0.826358274848415,29.405946374335464
3,19.747367116696818,3.3112939203130436,1.2161129174979712,5.0483860498338595,1.1918440935147845,0.6559113918045189,30.515004097856476
4,15.715804511568162,4.152218283521421,1.1194727389596824,1.740199733298243,0.4303256697496854,2.3860584529866697,23.158020937097202
5,74.9474237542018,24.395128704414567,2.323732069389039,2.782726742362538,0.6837660067747308,8.766627471191468,105.1327772771427
6,17.834883695475813,4.1900053769508485,1.0093761832201575,1.963916727239808,0.3841752394049552,2.133494419002023,25.382357222291578
7,17.071983940676123,3.4586235477918743,1.0928388602188313,1.9973641358683862,0.49454596077837,1.7315938970177724,24.115356445333592
