day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,103.47277082468335,9.355665318088079,4.874201633981398,4.989593685298969,0.7574693911900159,1.8750355055268395,123.44970085324185
2,103.47277082468335,9.355665318088079,4.874201633981398,4.989593685298969,0.7574693911900159,1.8750355055268395,123.44970085324185
3,24.600792288663236,6.132759917582782,2.021101975267053,2.314349885655858,0.28325636762612044,2.649884512101261,35.352260434795056
4,28.307040400243913,6.477510542661721,2.2670779794790965,3.2067204771793603,0.6942781314382515,2.0199797858151194,40.95262753100235
5,3.7505856213094813,2.317367515803931,1.4913359044157575,3.090794103798007,0.6599081815639746,0.7497644417518206,11.30999132689115
5,16.87065371030217,4.250894991743857,2.891907145529143,4.49850036986699,0.7555753499558101,0.9449582399099694,29.26753156739798
7,42.00323726411426,7.103482666960155,1.8150702160767458,3.0225510470720063,0.5217926287899005,2.350161355865739,54.46613382301307
