day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,8.010293767536158,2.121159761230224,2.0602936294109657,8.966864756270976,2.8325616027105665,0.23655534223896835,23.991173517158895
2,4.020172525059276,1.4664762366844868,1.415160763269527,4.045995572592324,1.0691100965562124,0.3624512707375247,12.016915194161827
3,1.8751001096984323,0.695304586176142,0.44966496075623386,3.9261323575611717,0.9411715844618733,0.17709657312929972,7.887373598653853
4,1.5676000829291434,0.7006673881288565,0.22839495968408732,1.1527235703775716,0.322603272035148,0.6078364372295735,3.9719892731548065
5,2.9801377229373056,1.4119176563363873,0.49622239516356637,1.895041145003626,0.4858477281318115,0.7450591033651071,7.269166647572697
6,2.0600632131991903,0.7154763771258573,0.31291800547429643,0.964902081943029,0.2044792541137685,0.7415015373218994,4.257838931856141
7,1.1635127501400488,0.38672979383031775,0.3046659157747208,0.46732610961089294,0.08003210283284026,0.8275373146865651,2.4022666721888206
