day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,4.35165707890514,3.212215599362613,3.178362403125621,10.870609588513684,2.350435614873168,0.2954954433058443,23.963280284780225
2,4.35165707890514,3.212215599362613,3.178362403125621,10.870609588513684,2.350435614873168,0.2954954433058443,23.963280284780225
3,15.582295806862845,2.6970784018035876,1.1474705668595546,1.4923469614558784,0.34991726037087195,1.8072730212633783,21.269108997352735
4,18.16737206792413,4.124268392234594,2.0947859989460555,3.279307224758121,0.6284916535791883,1.2576645338677581,28.29422533744209
5,9.603212963131783,1.839180426614122,1.2864676155543235,7.676494448932853,2.2569995305078177,0.23958597753819721,22.662354984740897
5,5.656444851351464,1.9052016954344277,2.4082901886530306,4.901233092860605,1.3886766190358195,0.3887188508152459,16.25984644733535
7,6.486037717011152,1.2190347047232002,0.7612113886793208,1.8596682191856593,0.4906350875476223,0.6555119306480434,10.816587117146952
