day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,162.7917263859422,28.460475866307434,5.650818792307087,6.348091409006937,0.8794933421355376,4.483312232386339,204.13060579569915
2,162.7917263859422,28.460475866307434,5.650818792307087,6.348091409006937,0.8794933421355376,4.483312232386339,204.13060579569915
3,128.73736177155553,19.213655479727656,4.088605560948597,3.730330015775282,0.3793662439017091,5.150658359575311,156.14931907190876
4,61.03378299566396,8.052489975493486,1.9671534419506527,3.683763595407029,0.4851090290092966,2.185941026599386,75.22229903752444
5,26.6967253034612,5.7901794126284685,1.3286405454920285,2.6845428788689736,0.39865084693452235,2.1568586064335586,36.89873898738518
5,21.799443269070533,6.586650541552319,2.6622316403173905,6.445280071383033,1.6785465240820845,1.0219339530018205,39.17215204640536
7,20.39381949634848,5.964242666259535,2.266065220362666,4.261957177914675,0.48342375730479464,1.3994140291146164,33.369508318190164
