day,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
1,2.1616874705020446,1.070191350416947,0.5788418591472735,2.2557863862033,0.5269003155920734,0.47442052002901713,6.593407381861638
2,3.8100149147671853,0.8044267629349607,0.5008119918522819,0.9225938600503286,0.14170721915706788,0.8719186174630279,6.1795547487618245
3,3.4847939137088755,1.988573580711468,2.8491717493966657,6.950507237798004,2.116183891360551,0.28610481403389915,17.389230372975565
4,5.257141606087155,2.3249225815253554,2.3661381980021217,6.551583761643962,1.5107545068942145,0.354864207817435,18.01054065415281
5,0.7251729927328597,0.27464769047192267,0.20665716393483208,1.5825924118939767,0.4712986617144896,0.1735429087159823,3.2603689207480806
6,0.3184234521724484,0.2305454511406289,0.1692443027788657,0.9848282593227916,0.2821252334263176,0.23409711181435983,1.9851666988410526
7,3.5953200082402117,1.8054133763623568,2.515128530130235,3.547377387821447,0.6650153923444434,0.5089431371357747,12.128254694898692
