condition,task,day,group,0.5Hz,1Hz,1.5Hz,2Hz,2.5Hz,3Hz,3.5Hz,4Hz,4.5Hz,5Hz,5.5Hz,6Hz,6.5Hz,7Hz,7.5Hz,8Hz,8.5Hz,9Hz,9.5Hz,10Hz,10.5Hz,11Hz,11.5Hz,12Hz,12.5Hz,13Hz,13.5Hz,14Hz,14.5Hz,15Hz,15.5Hz,16Hz,16.5Hz,17Hz,17.5Hz,18Hz,18.5Hz,19Hz,19.5Hz,20Hz,20.5Hz,21Hz,21.5Hz,22Hz,22.5Hz,23Hz,23.5Hz,24Hz,24.5Hz,25Hz,25.5Hz,26Hz,26.5Hz,27Hz,27.5Hz,28Hz,28.5Hz,29Hz,29.5Hz,30Hz,30.5Hz,31Hz,31.5Hz,32Hz,32.5Hz,33Hz,33.5Hz,34Hz,34.5Hz,35Hz,35.5Hz,36Hz,36.5Hz,37Hz,37.5Hz,38Hz,38.5Hz,39Hz,39.5Hz,40Hz
baseline,ColorCounting,1,all,1.6661661257420488,39.68591130024714,76.81193802834768,67.48504051235481,48.2118753763919,37.874367119885655,23.752868396890428,16.949934481773397,9.426456291498194,7.078426827488445,3.847404104213204,3.42416130357255,2.626533911378887,3.5134753221648656,1.5396721210216335,1.6476618216445913,1.0808210412731878,1.243510133159141,1.0752411144389349,1.2903881172518026,1.3101721586036796,0.8316025576912378,0.6544715219257535,0.6113768445834012,0.3653058063868734,0.4245943662872925,0.4542544037897594,0.2654462950977133,0.2984453218943116,0.344537607815327,0.2535777595996269,0.2744591473433027,0.2813705052981977,0.3989802677698388,0.3120459198842889,0.4091127720396504,0.4074030003588778,0.3216663975305486,0.3129106492978969,0.3147743616349558,0.3450063442233585,0.3341064040135013,0.3282550614487576,0.2328362728460195,0.2105080438675374,0.2077853043346137,0.2393147715359248,0.1902963605093313,0.2176795616825335,0.156020844512678,0.2346024629630372,0.2576408971937147,0.2849850362446668,0.300280905822977,0.2522426922968513,0.1894095312169895,0.1795449769193406,0.1595406654888216,0.1497656209314699,0.1471626583714088,0.1573738457907112,0.1124027215352453,0.0995155995384534,0.1107624445800656,0.1142362152064653,0.1376725559727752,0.0842475630686487,0.0950119343636657,0.0900938875298165,0.0641098432797785,0.0502400475668054,0.0503306980321045,0.0300004979800046,0.0552323009616405,0.0505065650722655,0.0277164017004821,0.0221821118939861,0.0263579527569182,0.0220606608051352,0.0146915569653659
baseline,ColorCounting,1,frontopolar,1.2922697155235765,28.21521076443123,67.49082989023758,61.90007809430293,45.78431015554899,36.817299965228045,23.8928823625626,16.132373911115764,4.975266727213576,5.430445331571906,3.616784806027741,3.177884312702845,1.7296111385468134,3.4002433145100275,1.4285674519188185,1.794736645277041,0.6867152945614062,1.0610925415861336,0.7113499761072859,1.0427491186889772,0.7169403046075058,0.5147634944410577,0.4377519720930762,0.422391252905159,0.2585745563587018,0.256983981263036,0.3073094335292491,0.1909526701038285,0.1991899714188857,0.2492327091112965,0.1543359193720743,0.1567678847504664,0.1808441150592173,0.3223096621634725,0.2930443883985414,0.3600641577475739,0.3270338974304966,0.2675683706841462,0.2456611388870337,0.2607183016349561,0.3143945165433021,0.3331770144756743,0.3654713042381424,0.2323365178259158,0.2022976245403966,0.2185047643638693,0.2575165768626449,0.1759885378910713,0.126263870690988,0.1434753304885386,0.1877695164263762,0.2149978184942731,0.1649263077507687,0.2542773985732506,0.1596055579313096,0.0993706838192869,0.1721384385133275,0.1417034523669361,0.1267859086998944,0.0949050423900299,0.1214016380787933,0.074578631754254,0.0747130955472413,0.0919019021879391,0.1158738083238392,0.0986906912193837,0.0936797562119404,0.0946390269480597,0.071223375474816,0.0573250250519281,0.0475559088964181,0.0477087509861339,0.0271182375189707,0.0678933106056506,0.0602388173777516,0.0243449093180114,0.024813594726896,0.0269486446946858,0.0198921604289355,0.0125728116554977
baseline,ColorCounting,1,lateral_frontal,2.0400625359605207,51.15661183606304,86.13304616645779,73.07000293040672,50.63944059723482,38.931434274543264,23.61285443121825,17.76749505243103,13.877645855782816,8.726408323404984,4.078023402398667,3.6704382944422553,3.5234566842109603,3.6267073298197032,1.6507767901244486,1.5005869980121418,1.4749267879849692,1.4259277247321482,1.439132252770584,1.5380271158146277,1.9034040125998537,1.148441620941418,0.8711910717584308,0.8003624362616435,0.472037056415045,0.592204751311549,0.6011993740502698,0.3399399200915982,0.3977006723697374,0.4398425065193574,0.3528195998271795,0.392150409936139,0.3818968955371781,0.4756508733762051,0.3310474513700364,0.4581613863317269,0.4877721032872589,0.3757644243769509,0.3801601597087601,0.3688304216349557,0.3756181719034149,0.3350357935513282,0.2910388186593727,0.2333360278661231,0.2187184631946781,0.197065844305358,0.2211129662092046,0.2046041831275914,0.309095252674079,0.1685663585368174,0.2814354094996982,0.3002839758931563,0.4050437647385648,0.3462844130727035,0.3448798266623931,0.2794483786146921,0.1869515153253537,0.1773778786107071,0.1727453331630454,0.1994202743527877,0.193346053502629,0.1502268113162367,0.1243181035296655,0.1296229869721921,0.1125986220890915,0.1766544207261668,0.0748153699253571,0.0953848417792717,0.108964399584817,0.0708946615076289,0.0529241862371926,0.052952645078075,0.0328827584410384,0.0425712913176303,0.0407743127667794,0.0310878940829527,0.0195506290610762,0.0257672608191507,0.0242291611813349,0.0168103022752341
baseline,ColorCounting,2,all,1.6661661257420488,39.68591130024714,76.81193802834768,67.48504051235481,48.2118753763919,37.874367119885655,23.752868396890428,16.949934481773397,9.426456291498194,7.078426827488445,3.847404104213204,3.42416130357255,2.626533911378887,3.5134753221648656,1.5396721210216335,1.6476618216445913,1.0808210412731878,1.243510133159141,1.0752411144389349,1.2903881172518026,1.3101721586036796,0.8316025576912378,0.6544715219257535,0.6113768445834012,0.3653058063868734,0.4245943662872925,0.4542544037897594,0.2654462950977133,0.2984453218943116,0.344537607815327,0.2535777595996269,0.2744591473433027,0.2813705052981977,0.3989802677698388,0.3120459198842889,0.4091127720396504,0.4074030003588778,0.3216663975305486,0.3129106492978969,0.3147743616349558,0.3450063442233585,0.3341064040135013,0.3282550614487576,0.2328362728460195,0.2105080438675374,0.2077853043346137,0.2393147715359248,0.1902963605093313,0.2176795616825335,0.156020844512678,0.2346024629630372,0.2576408971937147,0.2849850362446668,0.300280905822977,0.2522426922968513,0.1894095312169895,0.1795449769193406,0.1595406654888216,0.1497656209314699,0.1471626583714088,0.1573738457907112,0.1124027215352453,0.0995155995384534,0.1107624445800656,0.1142362152064653,0.1376725559727752,0.0842475630686487,0.0950119343636657,0.0900938875298165,0.0641098432797785,0.0502400475668054,0.0503306980321045,0.0300004979800046,0.0552323009616405,0.0505065650722655,0.0277164017004821,0.0221821118939861,0.0263579527569182,0.0220606608051352,0.0146915569653659
baseline,ColorCounting,2,frontopolar,1.2922697155235765,28.21521076443123,67.49082989023758,61.90007809430293,45.78431015554899,36.817299965228045,23.8928823625626,16.132373911115764,4.975266727213576,5.430445331571906,3.616784806027741,3.177884312702845,1.7296111385468134,3.4002433145100275,1.4285674519188185,1.794736645277041,0.6867152945614062,1.0610925415861336,0.7113499761072859,1.0427491186889772,0.7169403046075058,0.5147634944410577,0.4377519720930762,0.422391252905159,0.2585745563587018,0.256983981263036,0.3073094335292491,0.1909526701038285,0.1991899714188857,0.2492327091112965,0.1543359193720743,0.1567678847504664,0.1808441150592173,0.3223096621634725,0.2930443883985414,0.3600641577475739,0.3270338974304966,0.2675683706841462,0.2456611388870337,0.2607183016349561,0.3143945165433021,0.3331770144756743,0.3654713042381424,0.2323365178259158,0.2022976245403966,0.2185047643638693,0.2575165768626449,0.1759885378910713,0.126263870690988,0.1434753304885386,0.1877695164263762,0.2149978184942731,0.1649263077507687,0.2542773985732506,0.1596055579313096,0.0993706838192869,0.1721384385133275,0.1417034523669361,0.1267859086998944,0.0949050423900299,0.1214016380787933,0.074578631754254,0.0747130955472413,0.0919019021879391,0.1158738083238392,0.0986906912193837,0.0936797562119404,0.0946390269480597,0.071223375474816,0.0573250250519281,0.0475559088964181,0.0477087509861339,0.0271182375189707,0.0678933106056506,0.0602388173777516,0.0243449093180114,0.024813594726896,0.0269486446946858,0.0198921604289355,0.0125728116554977
baseline,ColorCounting,2,lateral_frontal,2.0400625359605207,51.15661183606304,86.13304616645779,73.07000293040672,50.63944059723482,38.931434274543264,23.61285443121825,17.76749505243103,13.877645855782816,8.726408323404984,4.078023402398667,3.6704382944422553,3.5234566842109603,3.6267073298197032,1.6507767901244486,1.5005869980121418,1.4749267879849692,1.4259277247321482,1.439132252770584,1.5380271158146277,1.9034040125998537,1.148441620941418,0.8711910717584308,0.8003624362616435,0.472037056415045,0.592204751311549,0.6011993740502698,0.3399399200915982,0.3977006723697374,0.4398425065193574,0.3528195998271795,0.392150409936139,0.3818968955371781,0.4756508733762051,0.3310474513700364,0.4581613863317269,0.4877721032872589,0.3757644243769509,0.3801601597087601,0.3688304216349557,0.3756181719034149,0.3350357935513282,0.2910388186593727,0.2333360278661231,0.2187184631946781,0.197065844305358,0.2211129662092046,0.2046041831275914,0.309095252674079,0.1685663585368174,0.2814354094996982,0.3002839758931563,0.4050437647385648,0.3462844130727035,0.3448798266623931,0.2794483786146921,0.1869515153253537,0.1773778786107071,0.1727453331630454,0.1994202743527877,0.193346053502629,0.1502268113162367,0.1243181035296655,0.1296229869721921,0.1125986220890915,0.1766544207261668,0.0748153699253571,0.0953848417792717,0.108964399584817,0.0708946615076289,0.0529241862371926,0.052952645078075,0.0328827584410384,0.0425712913176303,0.0407743127667794,0.0310878940829527,0.0195506290610762,0.0257672608191507,0.0242291611813349,0.0168103022752341
baseline,ColorCounting,3,all,1.0072442941093456,18.65217816003969,26.483515081986248,35.26899465476109,25.628484127200487,18.854113123254034,4.1103594752461055,6.407905824399197,3.974233733582605,1.935803535156704,2.50718794425765,1.436486323146375,1.4057935010602556,0.7599368487915521,0.9708776657014756,0.8879874113881219,0.6006600038575451,0.4383233151967958,0.3198313874069611,0.3961614974831763,0.5939687742346179,0.5204132329321991,0.3707954110489788,0.1849131502389986,0.2219277031448577,0.2772021193415643,0.1960375965774993,0.1184659594666185,0.145531857389102,0.1792926921056538,0.0901385153733565,0.1029468992349489,0.0894584137644634,0.0830140666677036,0.0659697975690581,0.0899771568488864,0.1518367564469264,0.1374516654763809,0.1384448306866468,0.0933997172286679,0.0531146408579176,0.1435647309462208,0.1286874341673349,0.1026801162411246,0.108952842037765,0.1346860133842828,0.0811628063295893,0.1256265323955492,0.0543159706162719,0.060658511808528,0.0539425668861592,0.0517732860444025,0.0297644394094732,0.0364900151022136,0.0712817652416548,0.0486283607460783,0.0550540335999798,0.0459102564556576,0.0222023019428811,0.0230361431809307,0.0453270345101337,0.0483683405929208,0.0227219797281247,0.0286287680537515,0.0459189925948538,0.0230411060009139,0.0167111303421075,0.0168012743162125,0.0288849389152057,0.0201487307302964,0.0135241304052222,0.0116260841301703,0.0043238529829569,0.007109546990884,0.0056128526975412,0.0088004499220177,0.0053467245594518,0.0048732750023606,0.0031888607969392,0.0029469840520116
baseline,ColorCounting,3,frontopolar,0.0273957639139687,0.40371509448205,0.5808449593381568,0.6351565727448594,0.4513494672859886,0.3561233977581846,0.080469034559719,0.0972488882363717,0.0739607196257057,0.037505533680721,0.0577650793160929,0.0316469908852646,0.0264553761138519,0.0216323012502202,0.0229249036280909,0.0192822094571093,0.0115408113158642,0.0095237150127139,0.00836545542852,0.0074210929133524,0.009081653964988,0.0083681323168689,0.0054878747901818,0.0036509386341238,0.0041006699444758,0.005210105598234,0.004096725423163,0.0034014014258927,0.0030535366180587,0.0032892323442344,0.0028139174083049,0.0028587264206762,0.0036234635872145,0.0032121380078417,0.0015628066468032,0.0023370034890843,0.0036220443545116,0.0030103347483456,0.0031207689166792,0.0020374192002099,0.0015088241973856,0.0029993522867171,0.0028649564752197,0.002161407713549,0.0026478357151556,0.0026070121548333,0.0015077563819587,0.002120798813345,0.0021575930532134,0.001703644317906,0.0015173288113616,0.0009007787561554,0.0006959319550104,0.0007634000143064,0.0018524671789717,0.0011883188901418,0.0017405514887156,0.0013992784719775,0.0010125425544937,0.0007231409776849,0.0010643177860331,0.0013812682466825,0.0007722168378868,0.0006135078308646,0.0008279895124382,0.0005805514794206,0.0004840220780242,0.0003611312039316,0.0005252721913152,0.0003872644190943,0.0003248596295125,0.0002468420956565,0.0001322976479106,0.000167784111066,0.0001356749714319,0.0001927173116719,0.0001680733614319,9.919992138430284e-05,6.781348913106872e-05,6.382739884135035e-05
baseline,ColorCounting,3,lateral_frontal,1.9870928243047223,36.90064122559733,52.38618520463434,69.9028327367773,50.80561878711499,37.35210284874989,8.140249915932491,12.718562760562024,7.874506747539503,3.834101536632688,4.956610809199207,2.841325655407485,2.7851316260066588,1.498241396332884,1.91883042777486,1.7566926133191345,1.189779196399226,0.8671229153808777,0.6312973193854021,0.7849019020530003,1.1788558945042478,1.0324583335475293,0.7361029473077758,0.3661753618438734,0.4397547363452396,0.5491941330848946,0.3879784677318355,0.2335305175073442,0.2880101781601454,0.3552961518670731,0.177463113338408,0.2030350720492217,0.1752933639417123,0.1628159953275654,0.130376788491313,0.1776173102086886,0.3000514685393413,0.2718929962044162,0.2737688924566145,0.1847620152571259,0.1047204575184496,0.2841301096057245,0.25450991185945,0.2031988247687001,0.2152578483603743,0.2667650146137323,0.1608178562772198,0.2491322659777533,0.1064743481793304,0.11961337929915,0.1063678049609568,0.1026457933326495,0.0588329468639361,0.0722166301901208,0.1407110633043379,0.0960684026020148,0.1083675157112439,0.0904212344393377,0.0433920613312685,0.0453491453841764,0.0895897512342343,0.0953554129391591,0.0446717426183627,0.0566440282766384,0.0910099956772693,0.0455016605224071,0.0329382386061908,0.0332414174284933,0.0572446056390962,0.0399101970414985,0.026723401180932,0.0230053261646842,0.0085154083180032,0.0140513098707019,0.0110900304236504,0.0174081825323635,0.0105253757574716,0.009647350083337,0.0063099081047474,0.005830140705182
baseline,ColorCounting,4,all,0.8914575065171498,12.983049607057556,30.522921344486555,11.886006166340511,2.9914135919643883,4.213612707004296,3.0679209158423624,1.2654858160288884,2.2834561459361087,1.7410008255044578,1.8677817645883656,1.1378194631164191,0.6384650149171891,0.6576945269073772,0.6409981495718642,0.4756302987614317,0.4377437761098375,0.4939765160171205,0.3315500377415561,0.3873703869714994,0.4158344610844114,0.2301874724795049,0.1387420317816124,0.2954049051611451,0.249735560048203,0.2551512776383633,0.1794545875250643,0.1191787222421875,0.2671063424666658,0.1885905522071608,0.223615907275918,0.2261885606288904,0.1879285794093726,0.2450692673133755,0.216068378678107,0.1457646997763474,0.1095154662227386,0.1660630388931027,0.2274380679729539,0.1154624771405226,0.2598757478039736,0.1550451752026103,0.101389095669862,0.0997048267722767,0.1536966824782572,0.2104057029770344,0.1098386219571635,0.1202419578877095,0.140599885702352,0.1187944974900413,0.091096626302241,0.0871713014946045,0.118081340997549,0.1191431231181761,0.108431542892893,0.0553774676609624,0.0470304943673931,0.0544009264391888,0.0628770883158467,0.0626456386937818,0.0358915585785596,0.0438042128806129,0.0490547368549848,0.0454872107288834,0.035340082802504,0.0413351120038647,0.0729939592523538,0.0604201448703693,0.0425903457099747,0.0279455630121061,0.0185416193792156,0.0217765952274049,0.0233696981151991,0.0235768131208147,0.0202621313824516,0.0228042628038875,0.0215185432455146,0.0114645984733641,0.0068848107032917,0.0066452390875386
