condition,rest_delta,rest_theta,rest_alpha,rest_beta,rest_low_gamma,rest_tbr
baseline,25.681824407256517,4.790224299919657,2.533532856578642,5.370547715945532,1.1944237061042215,1.2138336109876542
medication,45.786401263992026,10.736447965425114,2.5475101231037027,4.19331136992008,0.9809876277769105,3.0266943989652133
meditation,8.307302939135004,2.882120343623218,1.871037074640857,5.261475728686536,1.4101323180850602,0.6793716393885101
